teamMarket,Pos,HEIGHT,CLASS YR,jerseyNum,fullName,GS,GP,MP,ORB,TOV,STL,DRB,3PAr,3P%,extra_poss,extra_poss_per_40,3PAr %ile,3P% %ile,extra_poss_perc,extra_poss_per_40_perc,status,OBPR,OBPR_perct,DBPR,DBPR_perct,BPR,BPR_perct,Position,Role
Kansas St.,G,6'1,Freshman,2,Exavier Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,potential,,,,,,,#N/A,#N/A
Georgia Tech,G,6'7,Freshman,32,Dyllan Thompson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.022,potential,,,,,,,#N/A,#N/A
Saint Francis,G,78,Senior,8,Skylar Wicks,28,28,929.56,44,75,40,144,0.38444,0.3631,153,6.583760059,0.488,0.727,0.931,0.688,,0.097239979,0.425,-1.1107088,0.172,-1.013468821,0.279,3.542864433,1.781785345
Central Conn. St.,G,75,Senior,1,Jay Rodgers,27,28,842.87,2,77,11,60,0.35458,0.35955,-4,-0.189827613,0.444,0.714,0.001,0.021,,2.3582908,0.822,-2.3046768,0.019,0.053614,0.436,1,1
Chicago St.,G,69,Senior,21,Braelon Bush,9,26,672.73,2,36,33,48,0.4951,0.27723,47,2.794583265,0.631,0.365,0.497,0.223,,0.85810916,0.581,-1.9953683,0.038,-1.13725914,0.259,1.15955434,1.599326827
Mercyhurst,G,75,Senior,1,Sean Lang,0,29,390.12,19,8,17,52,0.57143,0.1875,80,8.202604327,0.733,0.186,0.693,0.829,,-1.2681005,0.172,-0.088506017,0.45,-1.356606517,0.232,3.185675092,4.697071316
Mercyhurst,G,71,Senior,4,Bernie Blunt,31,31,979.82,20,40,35,82,0.44203,0.3224,97,3.959911004,0.563,0.531,0.772,0.372,,1.6866203,0.727,-1.0151423,0.191,0.671478,0.523,2.212042184,1.723936094
Wagner,G,74,Senior,9,Jaden Baker,21,21,659.98,9,43,11,64,0.43085,0.38272,41,2.484923786,0.551,0.801,0.457,0.188,,-1.0429318,0.209,-2.2343673,0.024,-3.2772991,0.06,2.239407813,2.926444494
LIU,G,74,Senior,10,A.J. Neal,0,14,114.59,1,8,4,5,0.34783,0.5,2,0.698141199,0.437,0.953,0.113,0.083,,,,,,,,#N/A,#N/A
Saint Francis,G,74,Senior,55,Ahmad Harrison,19,29,746.41,15,48,35,49,0.39754,0.36082,51,2.733082354,0.503,0.721,0.525,0.216,,-1.9228117,0.091,-1.2123092,0.148,-3.1351209,0.067,1.83925569,3.206550041
